RefID,Title,Author,MedlineID,Journal,DateEntered,InternalAnno,AnnoCode,CometSubtypes,IncludeNS3Pos36_175,IncludeNS5APos26_93,Includes S282,Includes S282 + 4 other RAS positions,Includes S282 + 5 other RAS positions,Includes S282 + all positions
2183,Characterization of resistance to the protease inhibitor boceprevir in hepatitis C virus-infected patients,"Susser,S., Welsch,C., Wang,Y., Zettler,M., Domingues,F.S., Karey,U., Hughes,E., Ralston,R., Tong,X., Herrmann,E., Zeuzem,S. and Sarrazin,C.",19787809,"Hepatology 50 (6), 1709-1718 (2009)",2026-02-15,,,1a; 1b,16,0,0,0,0,0
2184,Natural prevalence of hepatitis C virus variants with decreased sensitivity to NS3.4A protease inhibitors in treatment-naive subjects,"Bartels,D.J., Zhou,Y., Zhang,E.Z., Marcial,M., Byrn,R.A., Pfeiffer,T., Tigges,A.M., Adiwijaya,B.S., Lin,C., Kwong,A.D. and Kieffer,T.L.",18637752,"J. Infect. Dis. 198 (6), 800-807 (2008)",2026-02-15,,,1a; 1b,9,0,0,0,0,0
2185,Resistance to NS3 protease inhibitors,"Grgic,I. and Santak,M.",,Unpublished,2026-02-15,,,1a,136,0,0,0,0,0
2187,Natural presence of NS3 protease R155K hepatitis C virus variants with decreased sensitivity to protease inhibitors,"Colson,P., Purgus,R., Borentain,P. and Gerolami,R.",22079973,"J. Clin. Virol. 53 (2), 178-180 (2012)",2026-02-15,,,1a,1,0,0,0,0,0
2191,Two Years' Persistence of Naturally Present Substitution R155K Within Hepatitis C Virus NS3 Protease in the Absence of Protease Inhibitor-based Therapy,"Colson,P. and Gerolami,R.",21459820,"J. Infect. Dis. 203 (9), 1341-1342 (2011)",2026-02-15,,,1a,11,0,0,0,0,0
2192,Direct Submission,"Khan,H.U. and Khan,S.",,"Submitted (22-JAN-2020) Zoology, University of Pes",2026-02-15,,,3a; 3b,1,0,0,0,0,0
2193,NS3 genomic sequencing and phylogenetic analysis as alternative to a commercially available assay to reliably determine hepatitis C virus subtypes 1a and 1b,"Neukam,K., Martinez,A.P., Culasso,A.C.A., Ridruejo,E., Garcia,G. and Di Lello,F.A.",28753662,"PLoS ONE 12 (7), E0182193 (2017)",2026-02-15,,,1a; 1b,50,0,0,0,0,0
2195,Is hepatitis C virus NS3 protease quasispecies heterogeneity predictive of progression from cirrhosis to hepatocellular carcinoma?,"Vallet,S., Gouriou,S., Nkontchou,G., Hotta,H., Vilerio,M., Legrand-Quillien,M.C., Beaugrand,M., Trinchet,J.C., Nousbaum,J.B., Deny,P., Gaudy,C., Goudeau,A., Picard,B. and Payan,C.",17244249,"J. Viral Hepat. 14 (2), 96-106 (2007)",2026-02-15,,,1b,134,0,0,0,0,0
2197,Naive Resistance Mutations to Protease Inhibitors on Brazilian HCV Infected Patients: A new Concern about genotyping target techniques,"de Carvalho,I.M.V.G., Alves,R., de Souza,P.A.V.M., da Silva,E.F., Mazo,D., Carrilho,F.J., Queiroz,A.T.L. and Pessoa,M.G.",,Unpublished,2026-02-15,,,1b,66,0,0,0,0,0
2199,"Identification of hepatitis C virus (HCV) subtype 1b strains that are highly, or only weakly, associated with hepatocellular carcinoma on the basis of the secondary structure of an amino-terminal portion of the HCV NS3 protein","Ogata,S., Florese,R.H., Nagano-Fujii,M., Hidajat,R., Deng,L., Ku,Y., Yoon,S., Saito,T., Kawata,S. and Hotta,H.",12843009,"J. Clin. Microbiol. 41 (7), 2835-2841 (2003)",2026-02-15,,,1b,7,0,0,0,0,0
2201,"Identification of hepatitis C virus (HCV) subtype 1b strains that are highly, or only weakly, associated with hepatocellular carcinoma on the basis of the secondary structure of an amino-terminal portion of the HCV NS3 protein","Ogata,S., Florese,R.H., Nagano-Fujii,M., Hidajat,R., Deng,L., Ku,Y., Yoon,S., Saito,T., Kawata,S. and Hotta,H.",12843009,"J Clin Microbiol 41 (7), 2835-2841 (2003)",2026-02-15,,,1b,16,0,0,0,0,0
2203,HCV in Romanian patients,"Dinu,S., Tardei,G. and Oprisan,G.",,Unpublished,2026-02-15,,,1b,7,0,0,0,0,0
2206,"Molecular epidemiology of hepatitis C virus infections in Tirana, Albania","Haldeda,M., Baume,J., Tamalet,C., Bizhga,M. and Colson,P.",,Unpublished,2026-02-15,,,1a; 1b; 2c; 3a,0,0,0,0,0,0
2212,Hepatitis C virus NS3/4A protease quasispecies complexity and catalytic efficiency influence responsiveness to peginterferon plus ribavirin treatment in HCV/HIV-co-infected patients,"Aparicio,E., Franco,S., Parera,M., Andres,C., Tural,C., Clotet,B. and Martinez,M.A.",21471227,"J. Virol. 85 (12), 5961-5969 (2011)",2026-02-15,,,1a; 1b,323,0,0,0,0,0
2216,CD8 epitope escape and reversion in acute HCV infection,"Timm,J., Lauer,G.M., Kavanagh,D.G., Sheridan,I., Kim,A.Y., Lucas,M., Pillay,T., Ouchi,K., Reyor,L.L., Schulze zur Wiesch,J., Gandhi,R.T., Chung,R.T., Bhardwaj,N., Klenerman,P., Walker,B.D. and Allen,T.M.",15611288,"J. Exp. Med. 200 (12), 1593-1604 (2004)",2026-02-15,,,1a; 1b,0,0,0,0,0,0
