RefID,Title,Author,MedlineID,Journal,DateEntered,InternalAnno,AnnoCode,CometSubtypes,IncludeNS3Pos36_175,IncludeNS5APos26_93,Includes S282,Includes S282 + 4 other RAS positions,Includes S282 + 5 other RAS positions,Includes S282 + all positions
1,MinVar-based analysis of resistance associated substitutions in relapse patients of chronic hepatitis C treated with direct acting antivirals,"Nayak,B., Singh,N., Mohanta,M., Ashraf,A., Kumar,S., Pradhan,D., Saraya,A. and Shalimar,S.",,Unpublished,2026-02-15,,,1a; 3a,22,22,22,22,22,22
2,Comprehensive cloning of patient-derived 9022-bp amplicons of hepatitis C virus,"Lu,Y., Xu,Y., Di Bisceglie,A.M. and Fan,X.",23602804,"J. Virol. Methods 191 (2), 105-112 (2013)",2026-02-15,,,1a,9,9,9,9,9,9
3,Transcripts from a single full-length cDNA clone of hepatitis C virus are infectious when directly transfected into the liver of a chimpanzee,"Yanagi,M., Purcell,R.H., Emerson,S.U. and Bukh,J.",9238047,"Proc. Natl. Acad. Sci. U.S.A. 94 (16), 8738-8743 (",2026-02-15,,,1a,3,3,3,3,3,3
4,Transmission of hepatitis C by intrahepatic inoculation with transcribed RNA,"Kolykhalov,A.A., Agapov,E.V., Blight,K.J., Mihalik,K., Feinstone,S.M. and Rice,C.M.",9228008,"Science 277 (5325), 570-574 (1997)",2026-02-15,,,1a,1,1,1,1,1,1
5,Development of HCV quasispecies diversity from a clonal infection in chimeric SCID/A16-uPA mice lacking an adaptive immune response,"Joyce,M.A., Finnie-Carvalho,L.E., Minnaker,R., Mar-Fish,P., Zhu,L.-F., Kneteman,N., Gale,M. and Tyrrell,D.L.",,Unpublished,2026-02-15,,,1a,40,40,40,40,40,40
6,Real-World Re-Treatment Outcomes of Direct-Acting Antiviral Therapy Failure in Patients with Chronic Hepatitis C,"Elhence,A., Singh,A., Anand,A., Kumar,R., Ashraf,A., Kumar,S., Pradhan,D., Pathak,P., Vaishnav,M., Rajput,M.S., Banyal,V., Nayak,B. and Shalimar.",33783006,J Med Virol (2021) In press,2026-02-15,,,1a; 3a,0,17,17,17,17,17
7,Hepatitis C Virus Variants with Decreased Sensitivity to Direct-Acting Antivirals (DAAs) Were Rarely Observed in DAA-Naive Patients prior to Treatment,"Bartels,D.J., Sullivan,J.C., Zhang,E.Z., Tigges,A.M., Dorrian,J.L., De Meyer,S., Takemoto,D., Dondero,E., Kwong,A.D., Picchio,G. and Kieffer,T.L.",23152524,"J. Virol. 87 (3), 1544-1553 (2013)",2026-02-15,,,1a; 1b; 1d; 1e; 1g,3446,777,777,777,777,777
8,Hepatitis C Virus,"Desai,S.M., Devare,S. and Yamaguchi,J.",,Unpublished,2026-02-15,,,1a,1,1,1,1,1,1
9,Naturally occurring dominant resistance mutations to hepatitis C virus protease and polymerase inhibitors in treatment-naive patients,"Kuntzen,T., Timm,J., Berical,A., Lennon,N., Berlin,A.M., Young,S.K., Lee,B., Heckerman,D., Carlson,J., Reyor,L.L., Kleyman,M., McMahon,C.M., Birch,C., Schulze Zur Wiesch,J., Ledlie,T., Koehrsen,M., Kodira,C., Roberts,A.D., Lauer,G.M., Rosen,H.R., Bihl,F., Cerny,A., Spengler,U., Liu,Z., Kim,A.Y., Xing,Y., Schneidewind,A., Madey,M.A., Fleckenstein,J.F., Park,V.M., Galagan,J.E., Nusbaum,C., Walker,B.D., Lake-Bakaar,G.V., Daar,E.S., Jacobson,I.M., Gomperts,E.D., Edlin,B.R., Donfield,S.M., Chung,R.T., Talal,A.H., Marion,T., Birren,B.W., Henn,M.R. and Allen,T.M.",19026009,"Hepatology 48 (6), 1769-1778 (2008)",2026-02-15,,,1a; 1b,443,443,443,443,443,443
10,Human leukocyte antigen-associated sequence polymorphisms in hepatitis C virus reveal reproducible immune responses and constraints on viral evolution,"Timm,J., Li,B., Daniels,M.G., Bhattacharya,T., Reyor,L.L., Allgaier,R., Kuntzen,T., Fischer,W., Nolan,B.E., Duncan,J., Schulze zur Wiesch,J., Kim,A.Y., Frahm,N., Brander,C., Chung,R.T., Lauer,G.M., Korber,B.T. and Allen,T.M.",17559151,"Hepatology 46 (2), 339-349 (2007)",2026-02-15,,,1a,71,71,71,71,71,71
11,HCV genome-wide genetic analyses in context of disease progression and hepatocellular carcinoma,"Donlin,M.J., Lomonosova,E., Kiss,A., Cheng,X., Cao,F., Curto,T.M., Di Bisceglie,A. and Tavis,J.E.",25079603,"PLoS ONE 9 (7), E103748 (2014)",2026-02-15,,,1a; 1b,164,164,164,164,164,164
12,Direct Submission,"Wang,S., Zahid,M.N. and Shaw,G.M.",,"Submitted (19-OCT-2021) Dept.Medicine, Perelman Sc",2026-02-15,,,1a; 1b; 2b; 3a,285,588,588,588,588,588
13,Genomic structure of the human prototype strain H of hepatitis C virus: comparison with American and Japanese isolates,"Inchauspe,G., Zebedee,S., Lee,D.H., Sugitani,M., Nasoff,M. and Prince,A.M.",1658800,"Proc. Natl. Acad. Sci. U.S.A. 88 (22), 10292-10296",2026-02-15,,,1a,1,1,1,1,1,1
14,Hepatitis C virus transmission between eight high-income countries among men who have sex with men: a whole-genome analysis,"Koopsen,J., Matthews,G., Rockstroh,J., Applegate,T.L., Bhagani,S., Rauch,A., Grebely,J., Sacks-Davis,R., Ingiliz,P., Boesecke,C., Rebers,S., Feld,J., Bruneau,J., Martinello,M., Hellard,M., Dore,G.J., Schinkel,J., van der Valk,M., Adams,T., Amjad,S., Appelhans,C., Applegate,T., Becker,B., Bhagani,S., Bouchard,R., Braun,D., Bruelisauer,C., Bruneau,J., Calcagnile,S., Carroll,A., Cerocchi,O., Chronister,K., Cordes,C., Dore,G., Evans,F., Fedele,S., Feld,J., Ferguson,C., Fraser,C., Ganase,B., Gane,E., George,V., Gerlach,C., Gilleece,Y., Gilliver,R., Grebely,J., Grube,C., Gustafson,J., Haas,A., Hagenauer,M., Harris,M., Helder,J., Hellard,M., Hirter,D., Hull,M., Ingiliz,P., Katz,S., Kim,A., Kotsoros,B., Lacalamita,M., Lindergard,G., Lutz,T., Macabodbod,L., Manz,M., Marks,P., Martinello,M., Matthews,G., Messina,P., Mohrmann,K., Monnich,C., Moon,J., Moriggia,A., Morris,G., Morrish,T., Nelson,M., Oliver,V., Patterson,J., Peters,M., Petoumenos,K., Porretta,H., Rauch,A., Raymode,P., Read,P., Reece,S., Rockstroh,J., Saidi,A., Sasadeusz,J., Scherler,P., Schroeder,R., Selfridge,M., Sevehon,A., Shaw,D., Sulkowski,M., Tamaddoni,M., Thunder,O., Thurnheer,M.C., Tu,E., Ustianowski,A., van der Valk,M. and Witele,E.",,Lancet Microbe (2023) In press,2026-02-15,,,1a; 4d,138,138,138,138,138,138
15,Historical trends in the hepatitis C virus epidemics in North America and Australia,"Rodrigo,C., Eltahla,A.A., Bull,R.A., Grebely,J., Dore,G.J., Applegate,T., Page,K., Bruneau,J., Morris,M.D., Cox,A.L., Osburn,W., Kim,A.Y., Schinkel,J., Shoukry,N.H., Lauer,G.M., Maher,L., Hellard,M., Prins,M., Estes,C., Razavi,H., Lloyd,A.R. and Luciani,F.",27571901,J. Infect. Dis. (2016) In press,2026-02-15,,,1a; 3a,123,123,123,123,123,123
16,Covariance Network Threading Method for Predicting the Outcome of Interferon-alpha Based Therapy for Hepatitis C Virus,"Aurora,R., Donlin,M.J. and Tavis,J.E.",,Unpublished,2026-02-15,,,1a,13,13,13,13,13,13
17,Secondary spontaneous clearance of acute hepatitis C following treatment relapse; a natural prime-boost phenomenon,"Witkowska,W., Swann,R.E., Cowton,V., Asamaphan,P., Davis,C., Niebel,M., Cole,S., Sabir,S., Main,J., Cooke,G., Garvey,L., Cooper,J., Patel,A.H. and Thomson,E.C.",,Unpublished,2026-02-15,,,1a; 4d,18,18,18,18,18,18
18,"Identification, molecular cloning, and analysis of full-length hepatitis C virus transmitted/founder genotypes 1, 3, and 4","Stoddard,M.B., Li,H., Wang,S., Saeed,M., Andrus,L., Ding,W., Jiang,X., Learn,G.H., von Schaewen,M., Wen,J., Goepfert,P.A., Hahn,B.H., Ploss,A., Rice,C.M. and Shaw,G.M.",25714714,"MBio 6 (2), e02518-14 (2015)",2026-02-15,,,1a; 1b; 3a; 4a,2006,141,141,141,141,141
19,Molecular Identification and Cloning of Full-length Transmitted/Founder Hepatitis C Virus Genomes,"Li,H., Wang,S., Stoddard,M.B. and Shaw,G.M.",,Unpublished,2026-02-15,,,1a,9,9,9,9,9,9
20,Hepatitis C virus diversity and evolution in the full open-reading frame during antiviral therapy,"Cannon,N.A., Donlin,M.J., Fan,X., Aurora,R. and Tavis,J.E.",18463735,"PLoS ONE 3 (5), E2123 (2008)",2026-02-15,,,1a,36,36,36,36,36,36
21,Pretreatment sequence diversity differences in the full-length hepatitis C virus open reading frame correlate with early response to therapy,"Donlin,M.J., Cannon,N.A., Yao,E., Li,J., Wahed,A., Taylor,M.W., Belle,S.H., Di Bisceglie,A.M., Aurora,R. and Tavis,J.E.",17522222,"J. Virol. 81 (15), 8211-8224 (2007)",2026-02-15,,,1a; 1b,94,94,94,94,94,94
22,Direct Submission,"Henn,M.R., Kuntzen,T., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Crawford,M., Engels,R., Freedman,E., Howarth,C., Larson,L., Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Shenoy,N., Godfrey,P., Champion,M., Gnerre,S., Grabherr,M., Mauceli,E., Liu,Z., Xing,Y., Madey,M.A., Fleckenstein,J.F., Park,V.M., Riely,C.A., Marion,T.N., Walker,B.D., Lander,E., Galagan,J., Nusbaum,C., Allen,T.M. and Birren,B.",,Submitted (28-AUG-2008) Broad Institute of MIT and,2026-02-15,,,1a,3,3,3,3,3,3
23,Direct Submission,"Henn,M.R., Kuntzen,T., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Crawford,M., Engels,R., Freedman,E., Howarth,C., Larson,L., Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Shenoy,N., Godfrey,P., Champion,M., Gnerre,S., Grabherr,M., Mauceli,E., Talal,A.H., Jacobson,I.M., Lake-Bakaar,G.V., Edlin,B.R., Walker,B.D., Lander,E., Galagan,J., Nusbaum,C., Allen,T.M. and Birren,B.",,Submitted (14-SEP-2007) Broad Institute of MIT and,2026-02-15,,,1a,1,1,1,1,1,1
24,A single nucleotide polymorphism in IL28B affects viral evolution of hepatitis C quasispecies after pegylated interferon and ribavirin therapy,"Yuan,H., Adams-Huet,B., Petersen,T., Attar,N., Lee,W.M. and Jain,M.K.",23080496,"J. Med. Virol. 84 (12), 1913-1919 (2012)",2026-02-15,,,1a; 1b,0,240,0,0,0,0
25,Direct Submission,"Henn,M.R., Kuntzen,T., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Crawford,M., Engels,R., Freedman,E., Howarth,C., Larson,L., Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Shenoy,N., Godfrey,P., Champion,M., Gnerre,S., Grabherr,M., Mauceli,E., Daar,E.S., Donfield,S.M., Gomperts,E.D., Walker,B.D., Lander,E., Galagan,J., Nusbaum,C., Allen,T.M. and Birren,B.",,Submitted (06-FEB-2008) Broad Institute of MIT and,2026-02-15,,,1a,1,1,1,1,1,1
26,Direct Submission,"Henn,M.R., Kuntzen,T., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Crawford,M., Engels,R., Freedman,E., Howarth,C., Larson,L., Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Shenoy,N., Godfrey,P., Champion,M., Gnerre,S., Grabherr,M., Mauceli,E., Schulze zur Wiesch,J., Kim,A., Lauer,G., Walker,B.D., Lander,E., Galagan,J., Nusbaum,C., Allen,T.M. and Birren,B.",,Submitted (31-OCT-2007) Broad Institute of MIT and,2026-02-15,,,1a; 1b,4,4,4,4,4,4
27,The Genotypes/subtypes and antiviral drug resistance of Hepatitis C Virus from patients in a tertiary care hospital in Nepal,"Kattel,H.P., Sharma,S., Alfsnes,K., Pathak,R., Rijal,K.R., Ghimire,P., Andreassen,A.K. and Banjara,M.R.",,Viruses (2025) In press,2026-02-15,,,1a; 1b; 3a; 3b; 3g; 3i,43,44,44,44,44,44
28,Recombinant Hepatitis C Virus is Circulated among High Risk Population in Eastern India,"Gupta,D., Firdaus,R., Saha,K., Biswas,A. and Ghosh,M.",,Unpublished,2026-02-15,,,,1,1,1,1,1,1
29,"Clinical Resistance to Velpatasvir (GS-5816), a Novel Pan-Genotypic Inhibitor of the Hepatitis C Virus NS5A Protein","Lawitz,E.J., Dvory-Sobol,H., Doehle,B., Worth,A., McNally,J., Brainard,D.M., Link,J.O., Miller,M.D. and Mo,H.",27353271,Antimicrob. Agents Chemother. (2016) In press,2026-02-15,,,1a; 1b; 2b; 3a; 4a,0,419,0,0,0,0
30,HIV co-infection is associated with increased transmission risk in patients with chronic hepatitis C virus,"Ragonnet-Cronin,M., Hostager,R., Hedskog,C., Osinusi,A., Svarovskaia,E. and Wertheim,J.O.",31194901,"J. Viral Hepat. 26 (11), 1351-1354 (2019)",2026-02-15,,,1a; 1b; 2a; 2b; 3a; 4a,567,636,514,511,509,509
31,Viral-Host Interactions in Breakthrough during Treatment of Acute Hepatitis C,"Hara,K., Rivera,M.M., Raghraman,S., Wolf,Y., Tsai,E., Ko,M., Saito,S., DeMino,M., Kirkland,H., Salehizadeh,Y., Auerbach,J., Koonin,E.V., Hoofnagle,J.H., Liang,T.J., Rehermann,B. and Heller,T.",,Unpublished,2026-02-15,,,1a; 1b,88,88,88,88,88,88
32,Viral sequence evolution in acute hepatitis C virus infection,"Kuntzen,T., Timm,J., Berical,A., Lewis-Ximenez,L.L., Jones,A., Nolan,B., Schulze zur Wiesch,J., Li,B., Schneidewind,A., Kim,A.Y., Chung,R.T., Lauer,G.M. and Allen,T.M.",17699568,"J. Virol. 81 (21), 11658-11668 (2007)",2026-02-15,,,1a; 1b,18,18,18,18,18,18
33,Genomic characterization of hepatitis C virus transmitted founder variants with deep sequencing,"Abayasingam,A., Leung,P., Eltahla,A., Bull,R.A., Luciani,F., Grebely,J., Dore,G.J., Applegate,T., Page,K., Bruneau,J., Cox,A.L., Kim,A.Y., Schinkel,J., Shoukry,N.H., Lauer,G.M., Maher,L., Hellard,M., Prins,M., Lloyd,A. and Rodrigo,C.",30853512,Infect. Genet. Evol. (2019) In press,2026-02-15,,,1a; 2a; 3a; 4a,14,14,0,0,0,0
34,"Comparative analysis of nearly full-length hepatitis C virus quasispecies from patients experiencing viral breakthrough during antiviral therapy: clustered mutations in three functional genes, E2, NS2, and NS5a","Xu,Z., Fan,X., Xu,Y. and Di Bisceglie,A.M.",18667493,"J. Virol. 82 (19), 9417-9424 (2008)",2026-02-15,,,1a,12,12,12,12,12,12
35,Direct Submission,"Hostager,R., Ragonnet-Cronin,M., Murrell,B., Hedskog,C., Osinusi,A., Susser,S., Sarrazin,C., Svarovskaia,E. and Wertheim,J.O.",,"Submitted (19-FEB-2019) Medicine, University of Ca",2026-02-15,,,,7,8,8,8,8,8
36,Hepatitis C virus genotype 1 pre-treatment NS5A baseline,"Hernandez,D.",,Unpublished,2026-02-15,,,1a; 1b,0,22,0,0,0,0
37,Evolution of hepatitis C virus NS5A region in breakthrough patients during pegylated interferon and ribavirin therapy*,"Yuan,H.J., Jain,M., Snow,K.K., Gale,M. Jr. and Lee,W.M.",19656286,"J. Viral Hepat. 17 (3), 208-216 (2010)",2026-02-15,,,1a,0,107,0,0,0,0
38,Capturing diverse microbial sequence with comprehensive and scalable probe design,"Metsky,H.C., Siddle,K.J., Gladden-Young,A., Qu,J., Yang,D.K., Brehio,P., Goldfarb,A., Piantadosi,A., Wohl,S., Carter,A., Lin,A.E., Barnes,K.G., Tully,D.C., Corleis,B., Hennigan,S., Barbosa-Lima,G., Vieira,Y.R., Paul,L.M., Tan,A.L., Garcia,K.F., Parham,L.A., Odia,I., Eromon,P., Folarin,O.A., Goba,A., Simon-Loriere,E., Hensley,L., Balmaseda,A., Harris,E., Kwon,D., Allen,T.M., Runstadler,J.A., Smole,S., Bozza,F.A., Souza,T.M.L., Isern,S., Michael,S.F., Lorenzana,I., Gehrke,L., Bosch,I., Ebel,G., Grant,D., Happi,C., Park,D.J., Gnirke,A., Sabeti,P.C. and Matranga,C.B.",,Unpublished,2026-02-15,,,1a; 3a,1,2,2,2,2,2
39,Natural variability and antiviral resistance mutations in HCV genotype 1 NS5A in pegylated interferon alpha plus ribavirin treated and untreated Italian patients,"Caudai,C., Materazzi,A., Saladini,F., Di Giambenedetto,S., Torti,C., Ricciardi,B., Rossetti,B., Almi,P., De Luca,A. and Zazzi,M.",,Unpublished,2026-02-15,,,1a; 1b,0,122,0,0,0,0
40,Impact of NS5A sequences of Hepatitis C virus genotype 1a on early viral kinetics during treatment with peginterferon- alpha 2a plus ribavirin,"Dal Pero,F., Tang,K.H., Gerotto,M., Bortoletto,G., Paulon,E., Herrmann,E., Zeuzem,S., Alberti,A. and Naoumov,N.V.",17763320,"J. Infect. Dis. 196 (7), 998-1005 (2007)",2026-02-15,,,1a,0,45,0,0,0,0
41,Direct Submission,"Ruiz-Higareda,A.F., Galan-Huerta,K.A., Garza-Cabello,J.C. and Rivas-Estilla,A.M.",,Submitted (23-NOV-2023) Bioquimica y Medicina Mole,2026-02-15,,,1a,1,1,1,1,1,1
42,Direct Submission,"Henn,M.R., Kuntzen,T., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Crawford,M., Engels,R., Freedman,E., Howarth,C., Larson,L., Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Shenoy,N., Godfrey,P., Champion,M., Gnerre,S., Grabherr,M., Mauceli,E., Daar,E.S., Donfield,S.M., Gomperts,E.D., Walker,B.D., Lander,E., Galagan,J., Nusbaum,C., Allen,T.M. and Birren,B.",,Submitted (31-OCT-2007) Broad Institute of MIT and,2026-02-15,,,1a,1,1,1,1,1,1
43,Frequent hepatitis C virus superinfection in injection drug users,"Herring,B.L., Page-Shafer,K., Tobler,L.H. and Delwart,E.L.",15378431,"J. Infect. Dis. 190 (8), 1396-1403 (2004)",2026-02-15,,,1a; 1b; 3a,7,7,48,7,7,7
44,Direct Submission,"Wang,S., Zahid,M.N. and Shaw,G.M.",,"Submitted (20-OCT-2021) Dept.Medicine, Perelman Sc",2026-02-15,,,1a,334,331,331,331,331,331
45,Hepatitis C Virus in people with experience of injection drug use following their displacement to Southern Ukraine before 2020,"Yakovleva,A., Kovalenko,G., Redlinger,M., Smyrnov,P., Tymets,O., Korobchuk,A., Kotlyk,L., Kolodiazieva,A., Podolina,A., Cherniavska,S., Antonenko,P., Strathdee,S.A., Friedman,S.R., Goodfellow,I., Wertheim,J.O., Bortz,E., Meredith,L. and Vasylyeva,T.I.",,Unpublished,2026-02-15,,,1a; 1b; 3a,14,34,18,8,8,8
46,Direct Submission,"Henn,M.R., Kuntzen,T., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Crawford,M., Engels,R., Freedman,E., Howarth,C., Larson,L., Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Shenoy,N., Godfrey,P., Champion,M., Gnerre,S., Grabherr,M., Mauceli,E., Liu,Z., Xing,Y., Madey,M.A., Fleckenstein,J.F., Park,V.M., Riely,C.A., Marion,T.N., Walker,B.D., Lander,E., Galagan,J., Nusbaum,C., Allen,T.M. and Birren,B.",,Submitted (30-JUN-2008) Broad Institute of MIT and,2026-02-15,,,1a,2,2,2,2,2,2
47,Direct Submission,"Barbian,H.",,Submitted (09-JAN-2025) Regional Innovative Public,2026-02-15,,,1a,1,1,1,1,1,1
48,Evidence that hepatitis C virus genome partly controls infection outcome,"Hartfield,M., Bull,R., White,P.A., Lloyd,A., Luciani,F. and Alizon,S.",24944567,"Evol Appl 7 (5), 533-547 (2014)",2026-02-15,,,1a; 1b; 3a,12,12,12,12,12,12
49,Direct Submission,"Henn,M.R., Kuntzen,T., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Crawford,M., Engels,R., Freedman,E., Howarth,C., Larson,L., Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Shenoy,N., Godfrey,P., Champion,M., Gnerre,S., Grabherr,M., Mauceli,E., Schulze zur Wiesch,J., Kim,A., Lauer,G., Walker,B.D., Lander,E., Galagan,J., Nusbaum,C., Allen,T.M. and Birren,B.",,Submitted (01-MAY-2008) Broad Institute of MIT and,2026-02-15,,,1a,3,3,3,3,3,3
50,Mutations identified in the HCV polymerase of ribavirin treated chronic hepatitis C patients cause resistance and affect viral replication fidelity,"Mejer,N., Fahnoe,U., Galli,A., Ramirez,S., Weiland,O., Benfield,T. and Bukh,J.",32928732,Antimicrob Agents Chemother (2020) In press,2026-02-15,,,1a; 1b; 2b; 3a,45,45,45,45,45,45
51,Direct Submission,"Henn,M.R., Kuntzen,T., Young,S., Berlin,A., Ledlie,T., Koehrsen,M., Crawford,M., Engels,R., Spurling,H., Berical,A., McMahon,C., Spengler,U., Walker,B.D., Lander,E., Galagan,J., Nusbaum,C., Allen,T.M. and Birren,B.",,Submitted (14-SEP-2007) Broad Institute of MIT and,2026-02-15,,,1a,1,1,1,1,1,1
52,In vivo study of the HC-TN strain of hepatitis C virus recovered from a patient with fulminant hepatitis: RNA transcripts of a molecular clone (pHC-TN) are infectious in chimpanzees but not in Huh7.5 cells,"Sakai,A., Takikawa,S., Thimme,R., Meunier,J.C., Spangenberg,H.C., Govindarajan,S., Farci,P., Emerson,S.U., Chisari,F.V., Purcell,R.H. and Bukh,J.",17409145,"J. Virol. 81 (13), 7208-7219 (2007)",2026-02-15,,,1a,1,1,1,1,1,1
53,Direct Submission,"Wang,S., Zahid,M.N. and Shaw,G.M.",,"Submitted (28-JUN-2021) Dept.Medicine, Perelman Sc",2026-02-15,,,1a,238,203,203,203,203,203
54,High levels of subgenomic HCV plasma RNA in immunosilent infections,"Bernardin,F., Stramer,S.L., Rehermann,B., Page-Shafer,K., Cooper,S., Bangsberg,D.R., Hahn,J., Tobler,L., Busch,M. and Delwart,E.",17493654,"Virology 365 (2), 446-456 (2007)",2026-02-15,,,1a; 2b; 3a,10,10,10,10,10,10
55,"Correlation between mutations in the core and NS5A genes of hepatitis C virus genotypes 1a, 1b, 3a, 3b, 6f and the response to pegylated interferon and ribavirin combination therapy","Kumthip,K., Pantip,C., Chusri,P., Thongsawat,S., O'Brien,A., Nelson,K.E. and Maneekarn,N.",20955493,"J. Viral Hepat. 18 (4), E117-E125 (2011)",2026-02-15,,,1a; 1b; 3a; 3b; 6f,0,69,0,0,0,0
56,Resistance-associated substitutions and response to treatment in a chronic hepatitis C virus infected-patient: an unusual virological response case report,"Aldunate,F., Echeverria,N., Chiodi,D., Lopez,P., Sanchez-Ciceron,A., Sonora,M., Cristina,J., Moratorio,G., Hernandez,N. and Moreno,P.",33902462,"BMC Infect Dis 21 (1), 387 (2021)",2026-02-15,,,1a,0,2,2,2,2,2
57,Genetic Diversity of Near Genome-Wide Hepatitis C Virus Sequences during Chronic Infection: Evidence for Protein Structural Conservation Over Time,"Li,H., Hughes,A.L., Bano,N., McArdle,S., Livingston,S., Deubner,H., McMahon,B.J., Townshend-Bulson,L., McMahan,R., Rosen,H.R. and Gretch,D.R.",21573177,"PLoS ONE 6 (5), E19562 (2011)",2026-02-15,,,1a; 1b,41,54,45,3,0,0
58,Post-Treatment Resistance Analysis of Hepatitis C Virus from Phase 2 and 3 Clinical Trials of Ledipasvir/ Sofosbuvir,"Wyles,D., Dvory-Sobol,H., Svarovskaia Doehle,E.S., Martin,R., Afdhal,N.H., Kowdley,K.V., Lawitz,E., Brainard,D.M., Miller,M.D., Mo,H. and Gane,E.J.",27923693,J. Hepatol. (2016) In press,2026-02-15,,,1a; 1b,0,102,100,100,100,100
59,Full-Genome Analysis of Hepatitis C Virus in Japanese and Non-Japanese Patients Coinfected With HIV-1 in Tokyo,"Ishida,Y., Hayashida,T., Sugiyama,M., Tsuchiya,K., Kikuchi,Y., Mizokami,M., Oka,S. and Gatanaga,H.",30550489,"J. Acquir. Immune Defic. Syndr. 80 (3), 350-357 (2",2026-02-15,,,1b; 2a; 2b; 2c; 3a; 3b; 4a; 6n; 6w,120,120,120,6,6,6
60,Direct Submission,"Henn,M.R., Kuntzen,T., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Crawford,M., Engels,R., Freedman,E., Howarth,C., Larson,L., Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Shenoy,N., Godfrey,P., Champion,M., Gnerre,S., Grabherr,M., Mauceli,E., Bihl,F., Brander,C., Cerny,A., Walker,B.D., Lander,E., Galagan,J., Nusbaum,C., Allen,T.M. and Birren,B.",,Submitted (30-JUN-2008) Broad Institute of MIT and,2026-02-15,,,1a; 1b,2,2,2,2,2,2
61,Sphingomyelin activates hepatitis C virus RNA polymerase in a genotype-specific manner,"Weng,L., Hirata,Y., Arai,M., Kohara,M., Wakita,T., Watashi,K., Shimotohno,K., He,Y., Zhong,J. and Toyoda,T.",20844041,"J Virol 84 (22), 11761-11770 (2010)",2026-02-15,,,1a,1,1,1,1,1,1
62,Full-Genome Analysis of Hepatitis C Virus in Japanese and Non-Japanese Patients Coinfected With HIV-1 in Tokyo,"Ishida,Y., Hayashida,T., Sugiyama,M., Tsuchiya,K., Kikuchi,Y., Mizokami,M., Oka,S. and Gatanaga,H.",30550489,"J Acquir Immune Defic Syndr 80 (3), 350-357 (2019)",2026-02-15,,,1a,21,21,21,0,0,0
63,Analysis of HCV quasispecies dynamic under selective pressure of combined therapy,"Jardim,A.C., Bittar,C., Matos,R.P., Yamasaki,L.H., Silva,R.A., Pinho,J.R., Fachini,R.M., Carareto,C.M., de Carvalho-Mello,I.M. and Rahal,P.",23374983,"BMC Infect. Dis. 13, 61 (2013)",2026-02-15,,,1a; 1b,0,585,0,0,0,0
64,Transfusion-transmitted Hepatitis C: a cluster of cases in transfusion-dependent thalassaemia patients in Sri Lanka,"Perera,S., Bonsall,D., Nirella,M.A., Allen,A., Peries,A.C., Nelumdeniya,U.B., Dissanayake,R., Silva,I., de Cesare,M., Klenerman,P., Weatherall,D.J., Roberts,D.J. and Premawardhena,A.P.",,Transfus Med (2020) In press,2026-02-15,,,1a; 3a,24,24,24,24,24,24
