Gene,AgreementStatus,AgreementStatusDescription,AccessionCount,PercentOfAccessions
NS3,AllFiveAgree,"All five methods have a genotype call, and all calls are identical.",17261,82.87
NS3,AllFiveMoreThanHalfAgree,"All five methods have calls and disagree, but one genotype is called by more than half of them.",58,0.28
NS3,AllFiveMoreThanHalfDisagree,"All five methods have calls and disagree, with no genotype called by more than half of them.",1,0.00
NS3,AvailableCallsAgree,"Two to four methods have genotype calls, and all available calls are identical.",3449,16.56
NS3,AvailableCallsMoreThanHalfAgree,"Two to four methods have calls and disagree, but one genotype is called by more than half of the available methods.",48,0.23
NS3,AvailableCallsMoreThanHalfDisagree,"Two to four methods have calls and disagree, with no genotype called by more than half of the available methods.",12,0.06
NS3,InsufficientCalls,"Fewer than two methods have a genotype call, so agreement cannot be assessed.",0,0.00
