Gene,AgreementStatus,AgreementStatusDescription,AccessionCount,PercentOfAccessions
NS3,AllFiveAgree,"All five methods have a genotype call, and all calls are identical.",10951,83.51
NS3,AllFiveDisagree,"All five methods have a genotype call, but at least two calls differ.",46,0.35
NS3,AvailableCallsAgree,"Two to four methods have genotype calls, and all available calls are identical.",2098,16.00
NS3,AvailableCallsDisagree,"Two to four methods have genotype calls, but at least two available calls differ.",18,0.14
NS3,InsufficientCalls,"Fewer than two methods have a genotype call, so agreement cannot be assessed.",0,0.00
