Gene,AgreementStatus,AgreementStatusDescription,AccessionCount,PercentOfAccessions
NS5B,AllFiveAgree,"All five methods have a subtype call, and all calls are identical.",4721,71.56
NS5B,AllFiveMoreThanHalfAgree,"All five methods have calls and disagree, but one subtype is called by more than half of them.",95,1.44
NS5B,AllFiveMoreThanHalfDisagree,"All five methods have calls and disagree, with no subtype called by more than half of them.",13,0.20
NS5B,AvailableCallsAgree,"Two to four methods have subtype calls, and all available calls are identical.",1614,24.47
NS5B,AvailableCallsMoreThanHalfAgree,"Two to four methods have calls and disagree, but one subtype is called by more than half of the available methods.",31,0.47
NS5B,AvailableCallsMoreThanHalfDisagree,"Two to four methods have calls and disagree, with no subtype called by more than half of the available methods.",123,1.86
NS5B,InsufficientCalls,"Fewer than two methods have a subtype call, so agreement cannot be assessed.",0,0.00
