CometSubtype,AllFiveDisagree,AvailableCallsDisagree,TotalDisagree,OtherMethodSubtypes
1A,23,16,39,1A;1B;1C;1J;1K;1M;1N;1O;1P;3A
1B,19,19,38,1A;1B;1C;1D;1G;1H;1I;1K;1L;1M;1N;1O;2K;5A;6B;6D;6P;6U;6W;6XA;6XD;6XG
1C,2,2,4,1C;1E;1N;1O
1H,0,1,1,1D;1H
2A,4,10,14,2A;2C;2F;2M;2P;2Q;2R;2U
2B,3,3,6,2B;2E;2L;2Q;2T;7B
2C,2,1,3,2B;2C;2F;2O
2J,9,24,33,2A;2C;2D;2E;2F;2I;2J;2M;2Q;2R;2U;2V
2K,0,4,4,2F;2K;2Q;2U
2Q,2,4,6,2A;2K;2Q;2R;2U
3A,7,0,7,1A;3A;3B;3D;3E;7B
3G,0,1,1,3G;3I
4A,15,46,61,4A;4C;4E;4L;4N;4R;4V
4D,1,2,3,1A;1D;4A;4D
4F,1,1,2,4C;4E;4F;4G;4V
4K,6,4,10,1E;4A;4B;4D;4G;4H;4K;4L;4R;4V
4O,2,0,2,4O;4P;4V
4R,8,1,9,1A;1B;1K;4R
4V,7,2,9,4L;4M;4O;4P;4Q;4V
4W,2,0,2,4B;4W
6A,3,1,4,6A;6B;6XD
6C,1,0,1,1H;6C
6D,0,2,2,1H;6D;8A
6E,2,11,13,1C;4V;6C;6E;6P;6Q;6XC;6XF;8A
6G,0,8,8,5A;5B;6G
6J,0,1,1,6J
6K,1,0,1,6K;6K-RELATED;6XI;8A
6L,19,1,20,6K;6K-RELATED;6L;6L-RELATED;6XB;6XI;6XJ;8A
6M,1,0,1,6M;8A
6N,10,8,18,4C;4D;4V;5A;6N;6XE;6XG
6O,0,1,1,6O;6Q
6R,0,1,1,1K;6R
6T,1,0,1,4R;6T
6W,0,39,39,5A;6G;6H;6L;6N;6Q;6T;6V;6W;6XA;6XE;6XF;6XG;6XH;8A
6XA,3,16,19,1D;5A;6U;6XA
7A,0,1,1,7A
"UNASSIGNED_1, 1A-1B",0,2,2,"1A;1I;UNASSIGNED_1, 1A-1B"
"UNASSIGNED_1, 1B-1A",0,2,2,"1A;1B;UNASSIGNED_1, 1B-1A"
"UNASSIGNED_1, 1B-6W",0,1,1,"8A;UNASSIGNED_1, 1B-6W"
"UNASSIGNED_1, 2J-5A",0,3,3,"8A;UNASSIGNED_1, 2J-5A"
"UNASSIGNED_1, 4D-4O",1,0,1,"4D;UNASSIGNED_1, 4D-4O"
"UNASSIGNED_1, 4V-4G",0,1,1,"4S;UNASSIGNED_1, 4V-4G"
"UNASSIGNED_1, 5A-1C",0,1,1,"5B;UNASSIGNED_1, 5A-1C"
