Subtype,NumAccs,common subtype,Number in profile
1a,8155,Yes,3948
1b,5985,Yes,2477
1c,15,No,7
1d,0,No,3
1e,19,No,8
1g,13,No,5
1h,11,No,5
1l,20,No,15
2a,443,Yes,147
2b,619,Yes,376
2c,62,Yes,38
2d,14,No,13
2e,7,No,1
2i,13,No,10
2j,71,No,43
2k,20,No,16
2m,5,No,5
2q,22,No,15
2r,1,No,1
3a,4185,Yes,2670
3b,111,No,86
3g,12,No,9
3h,11,No,11
3i,8,No,7
3k,14,No,2
4a,389,Yes,189
4b,7,No,4
4c,13,No,6
4d,374,No,189
4f,49,No,16
4g,2,No,2
4g?,1,No,0
4k,43,No,29
4l,5,No,3
4m,10,No,4
4n,13,No,10
4o,25,No,14
4p,6,No,1
4q,3,No,3
4r,60,No,23
4t,15,No,4
4v,34,No,20
4w,2,No,2
5a,121,Yes,62
6a,515,Yes,158
6b,2,No,1
6c,2,No,2
6d,2,No,2
6e,99,No,45
6f,26,No,20
6g,23,No,20
6h,11,No,8
6i,12,No,3
6j,7,No,6
6k,4,No,3
6l,40,No,30
6m,6,No,5
6n,44,No,27
6o,15,No,5
6p,8,No,3
6q,13,No,5
6r,7,No,6
6s,3,No,3
6t,8,No,6
6u,2,No,0
6v,7,No,5
6w,45,No,42
6xa,7,No,3
7a,2,No,2
7b,0,No,2
8a,0,No,5
"unassigned_1, 1a-1b",4,No,0
"unassigned_1, 1a-2b",22,No,0
"unassigned_1, 1a-2k",1,No,0
"unassigned_1, 1a-3a",4,No,0
"unassigned_1, 1a-4a",3,No,0
"unassigned_1, 1a-4a-4v",2,No,0
"unassigned_1, 1a-4d",1,No,0
"unassigned_1, 1a-4k-1b-4k-1b-4k",1,No,0
"unassigned_1, 1a-4o-4v-4o",1,No,0
"unassigned_1, 1a-4r",1,No,0
"unassigned_1, 1b-1a",3,No,0
"unassigned_1, 1b-2a",1,No,0
"unassigned_1, 1b-2a-2k",2,No,0
"unassigned_1, 1b-2b",10,No,0
"unassigned_1, 1b-2b-6d-6b",1,No,0
"unassigned_1, 1b-2j-2a-2b",1,No,0
"unassigned_1, 1b-2j-2a-2j-2q-2k-2q-2k",1,No,0
"unassigned_1, 1b-2k",3,No,0
"unassigned_1, 1b-3h",2,No,0
"unassigned_1, 1b-4r-1a-4r",1,No,0
"unassigned_1, 1b-6b",1,No,0
"unassigned_1, 1b-6h-6b",2,No,0
"unassigned_1, 1b-6k-6b",1,No,0
"unassigned_1, 1b-6k-6d-6b",1,No,0
"unassigned_1, 1b-6w",1,No,0
"unassigned_1, 1e-4a-4w-4f",1,No,0
"unassigned_1, 1e-4f-4w-4f-4p",1,No,0
"unassigned_1, 1e-4k-4n-4g-4a-4f-4d-4g",1,No,0
"unassigned_1, 1h-4f",1,No,0
"unassigned_1, 1l-4f",1,No,0
"unassigned_1, 2a-2k",1,No,0
"unassigned_1, 2a-3a",1,No,0
"unassigned_1, 2b-1b",1,No,0
"unassigned_1, 2b-2a",1,No,0
"unassigned_1, 2c-2b-3g-2b-2a",1,No,0
"unassigned_1, 2c-6h-2b",1,No,0
"unassigned_1, 2c-6h-3h",1,No,0
"unassigned_1, 2d-2a",1,No,0
"unassigned_1, 2i-2k",1,No,0
"unassigned_1, 2i-2k-2b-3h",1,No,0
"unassigned_1, 2i-2k-2c-3h",1,No,0
"unassigned_1, 2j-5a",3,No,0
"unassigned_1, 2j-6k",1,No,0
"unassigned_1, 3a-1a",1,No,0
"unassigned_1, 3a-2b",6,No,0
"unassigned_1, 3a-3g",1,No,0
"unassigned_1, 3a-3h",41,No,0
"unassigned_1, 3b-3a",1,No,0
"unassigned_1, 3b-3h",1,No,0
"unassigned_1, 3h-6a",1,No,0
"unassigned_1, 3i-3h-6h-6b",1,No,0
"unassigned_1, 3i-3k",1,No,0
"unassigned_1, 4a-1a",2,No,0
"unassigned_1, 4a-6b-6h-6b",1,No,0
"unassigned_1, 4a-6h-6b-6h-6b",1,No,0
"unassigned_1, 4d-4a-4n-4g-1a-3h",1,No,0
"unassigned_1, 4d-4o",1,No,0
"unassigned_1, 4k-4f",1,No,0
"unassigned_1, 4r-4d",1,No,0
"unassigned_1, 4v-4a-4p",1,No,0
"unassigned_1, 4v-4g",3,No,0
"unassigned_1, 4v-4k",2,No,0
"unassigned_1, 4v-4m",1,No,0
"unassigned_1, 4v-4m-4p-4t-4a-3g-2b-1a-3h",1,No,0
"unassigned_1, 4v-4o",1,No,0
"unassigned_1, 6a-3a",1,No,0
"unassigned_1, 6a-3h",1,No,0
"unassigned_1, 6g-3b",1,No,0
"unassigned_1, 6n-6o-6e-6a-6o",1,No,0
"unassigned_1, 6p-2j-2a-2k-2j",1,No,0
"unassigned_1, 6u-2b",1,No,0
"unassigned_1, 6w-2b",1,No,0
